"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"1",1,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"1st","Somewhat satisfied","Improved slightly","Does not meet original expectations","5","Less than an hour","1 = Not at all satisfied","51-60 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes",NA
"2",2,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of funding opportunities in my home country","No",NA,"5th","Somewhat satisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","6","61-70 hours","Neither agree nor disagree","Somewhat agree","Yes","No, I sought help elsewhere","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"3",3,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,NA,"Very satisfied","Stayed the same","Meets original expectations","6","Less than an hour","4 = Neither satisfied nor dissatisfied","61-70 hours","Somewhat disagree","Somewhat agree","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"4",4,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Somewhat satisfied","Improved greatly","Meets original expectations","6","More than three hours","4 = Neither satisfied nor dissatisfied","71-80 hours","Somewhat agree","Somewhat agree","Prefer not to say",NA,"Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"5",5,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"2nd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","5","Less than an hour","3","51-60 hours","Strongly disagree","Neither agree nor disagree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"6",6,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"2nd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","3","71-80 hours","Somewhat disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"7",7,"18 - 24","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"13th","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Less than an hour","5","61-70 hours","Somewhat disagree","Strongly agree","Yes","I didn’t seek help","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"8",8,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","5","51-60 hours","Strongly agree","Strongly disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"9",9,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,NA,"Neither satisfied nor dissatisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","2","21-30 hours","Neither agree nor disagree","Strongly agree","Yes","I didn’t seek help","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"10",10,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","6","51-60 hours","Neither agree nor disagree","Strongly agree","No",NA,"Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"11",11,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Very satisfied","Worsened a little","Meets original expectations","5","Between one and three hours","5","41-50 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"12",12,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","North or Central America","Chance to pursue a specific research question","No",NA,"5th","Somewhat satisfied","Stayed the same","Does not meet original expectations","6","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat agree","Strongly disagree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"13",13,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"7th","Very satisfied","Significantly worsened","Does not meet original expectations","2","Between one and three hours","3","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"14",14,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","More than three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"15",15,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"3rd","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","6","41-50 hours","Somewhat disagree","Somewhat disagree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"16",16,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,NA,"Somewhat satisfied","Worsened a little","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","1 = Not at all satisfied","41-50 hours","Somewhat disagree","Somewhat agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Sexual harassment"
"17",17,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"3rd","Very satisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","2","51-60 hours","Somewhat disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
